,question,explanation,answer,index
724,An alternating supply of frequency 50 Hz and having an output of 6.0 V r.m.s. is to be rectified so as to provide direct current for a resistor R. The circuit of Fig. 6.1 is used.  (DIAGRAM)  The diode is ideal. The Y-plates of a cathode-ray oscilloscope (c.r.o.) are connected between points A and B.  State the potential difference across R when the diode has maximum potential difference across it. Give a reason for your answer. ...................................................................... [1],  Zero. All the potential difference is across the diode,zero because?? either no current in circuit (and V = IR) ?? ?? ?? or all p.d. across diode B1 [1],"(215, 'a.ii')"
725,"An alternating supply of frequency 50 Hz and having an output of 6.0 V r.m.s. is to be rectified so as to provide direct current for a resistor R. The circuit of Fig. 6.1 is used.  (DIAGRAM)  The diode is ideal. The Y-plates of a cathode-ray oscilloscope (c.r.o.) are connected between points A and B.The Y-plate sensitivity of the c.r.o. is set at 2.0 V cm? ?1 and the time-base at 5.0 ms cm? ?1. On Fig. 6.2, draw the waveform that is seen on the screen of the c.r.o. [3]  (DIAGRAM) ", (DIAGRAM) ,waveform: half-wave rectification ?? ?? ?? peak height at about 4.25 cm ?? ?? ?? half-period spacing of 2.0 cm (allow ???? square for height and half-period) B1 B1 B1   [3],"(215, 'b')"
726,"An alternating supply of frequency 50 Hz and having an output of 6.0 V r.m.s. is to be rectified so as to provide direct current for a resistor R. The circuit of Fig. 6.1 is used.  (DIAGRAM)  The diode is ideal. The Y-plates of a cathode-ray oscilloscope (c.r.o.) are connected between points A and B.A capacitor of capacitance 180 ??F is connected into the circuit to provide smoothing of the potential difference across the resistor R.  On Fig. 6.1, show the position of the capacitor in the circuit. [1]  ",   (DIAGRAM) ,capacitor shown in parallel with resistor B1 [1],"(215, 'c.i')"
727,An alternating supply of frequency 50 Hz and having an output of 6.0 V r.m.s. is to be rectified so as to provide direct current for a resistor R. The circuit of Fig. 6.1 is used.  (DIAGRAM)  The diode is ideal. The Y-plates of a cathode-ray oscilloscope (c.r.o.) are connected between points A and B.A capacitor of capacitance 180 ??F is connected into the circuit to provide smoothing of the potential difference across the resistor R.  Calculate the energy stored in the fully-charged capacitor.  energy = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? J [3],  Use energy = (1/2)CV2  C = 180???? 10-6  V = 6???2  ??? E = (1/2)???? 180???? 10-6???? (6???2)2  = 6.48???? 10-3 J,either energy = ??CV2??or = ??QV and Q = CV ?? ?? = ?? ?? 180 ?? 10? ?6 ?? (6???2)2 ?? ?? = 6.48 ?? 10? ?3??J C1 C1 A1 [3],"(215, 'c.ii')"
728,"An alternating supply of frequency 50 Hz and having an output of 6.0 V r.m.s. is to be rectified so as to provide direct current for a resistor R. The circuit of Fig. 6.1 is used.  (DIAGRAM)  The diode is ideal. The Y-plates of a cathode-ray oscilloscope (c.r.o.) are connected between points A and B.A capacitor of capacitance 180 ??F is connected into the circuit to provide smoothing of the potential difference across the resistor R.  During discharge, the potential difference across the capacitor falls to 0.43V0,??where V0 is the maximum potential difference across the capacitor. Calculate the fraction of the total energy that remains in the capacitor after the discharge.  fraction = ? ?? ?? ?? ?? ?? ?? ?? ?? ?? ? [2]",  Final: (1/2)CV2 = (1/2)???? 180???? 10-6???? [0.43 ?? (6???2)]2 = 1.198???? 10-3 J  ??? Fraction of total energy that remain = (1.198???? 10-3)/(6.48 ?? 10-3) = 0.18,either fraction = 0.432??or final energy = 1.2 mJ fraction = 0.18 C1 A1 [2],"(215, 'c.iii')"
729,"A student is asked to design a circuit by which a direct voltage of peak value 9.0 V is obtained from a 240 V alternating supply. The student uses a transformer that may be considered to be ideal and a bridge rectifier incorporating four ideal diodes. The partially completed circuit diagram is shown in Fig. 6.1.   (DIAGRAM)On Fig. 6.1, draw symbols for the four diodes so as to produce the polarity across the load as shown on the diagram. [2]  ", (DIAGRAM) ,"all four diodes correct to give output, regardless of polarity connected for correct polarity M1 A1 [2]","(219, 'a')"
730,A student is asked to design a circuit by which a direct voltage of peak value 9.0 V is obtained from a 240 V alternating supply. The student uses a transformer that may be considered to be ideal and a bridge rectifier incorporating four ideal diodes. The partially completed circuit diagram is shown in Fig. 6.1.   (DIAGRAM)Calculate the ratio ?? (DIAGRAM)   ratio = ................................................ [3],Note: VP/???2 = Vr.m.s.  NS/NP = VS/VP = 9/[(???2) ?? 240] = 0.027  Ratio = 0.027 : 1,NS / NP = VS / VP V0 = ???2 ?? Vrms ratio = 9.0 / (???2 ?? 240) ?? ?? ??= 1/38 or 1/37 or 0.027 C1 C1  A1 [3],"(219, 'b')"
731,The components for a bridge rectifier are shown in Fig. 5.1.  (DIAGRAM)Complete the circuit of Fig. 5.1 by showing the connections of the supply and of the load to the diodes. [2]  , (DIAGRAM) ,supply connected correctly (to left & right) load connected correctly (to top & bottom) B1 B1 [2],"(223, 'a')"
732,"The components for a bridge rectifier are shown in Fig. 5.1.  (DIAGRAM)Suggest one advantage of the use of a bridge rectifier, rather than a single diode, for the rectification of alternating current. ...................................................................... [1]",Power is supplied on every half cycle.,"e.g. power supplied on every half-cycle ?? greater average/mean power (any sensible suggestion, 1 mark)?? B1 [1]","(223, 'b')"
733,"The components for a bridge rectifier are shown in Fig. 5.1.  (DIAGRAM)State  what is meant by smoothing, ...................................................................... [1]","  Due to smoothing, the potential difference does not fall to zero.",reduction in the variation of the output voltage/current B1 [1],"(223, 'c.i')"
734,The components for a bridge rectifier are shown in Fig. 5.1.  (DIAGRAM)State  the effect of the value of the capacitance of the smoothing capacitor in relation to smoothing. ...................................................................... [2],  A larger capacitance produces more soothing for the same load,larger capacitance produces more smoothing either product RC larger or for the same load M1  A1 [2],"(223, 'c.ii')"
735,"State the relation between magnetic flux density B and magnetic flux ??, explaining any other symbols you use. .......................................................................[2]",?? = BA  Where A is the area normal to B  (Note: the area A is normal to the lines of flux)  ,either ?? = BA sin?? where A is the area (through which flux passes) ?? is the angle between B and (plane of) A or ?? = BA where A is area normal to B M1  A1  (M1) (A1) [2],"(225, 'a')"
736,"A large horseshoe magnet has a uniform magnetic field between its poles. The magnetic field is zero outside the space between the poles. A small Hall probe is moved at constant speed along a line XY that is midway between, and parallel to, the faces of the poles of the magnet, as shown in Fig. 5.1.  (DIAGRAM)  An e.m.f. is produced by the Hall probe when it is in the magnetic field. The angle between the plane of the probe and the direction of the magnetic field is not varied. On the axes of Fig. 5.2, sketch a graph to show the variation with time t of the e.m.f. VH produced by the Hall probe. [2]  (DIAGRAM) ", (DIAGRAM) ,graph: VH constant and non zero between the poles and zero outside sharp increase/decrease at ends of magnet M1 A1 [2],"(225, 'b')"
737,  State Faraday's law of electromagnetic induction. ....................................................................[2],  FLEI states that the induced e.m.f. is proportional to the rate of change of magnetic flux linkage.,(induced) e.m.f. proportional to rate of change of (magnetic) flux (linkage) M1 A1 [2],"(225, 'c.i')"
738,"  The Hall probe in (b) is replaced by a small flat coil of wire. The coil is moved at constant speed along the line XY. The plane of the coil is parallel to the faces of the poles of the magnet. On the axes of Fig. 5.3, sketch a graph to show the variation with time t of the e.m.f. E induced in the coil. [3]  (DIAGRAM) ",   (DIAGRAM) ,short pulse on entering and on leaving region between poles pulses approximately the same shape but opposite polarities e.m.f. zero between poles and outside M1 A1 A1 [3],"(225, 'c.ii')"
739,"A simple transformer is illustrated in Fig. 6.1.  (DIAGRAM)State  why the iron core is laminated, ........................................................................[2]",  The iron core is laminated to reduce power loss in the core due to eddy currents,to reduce power loss in the core due to eddy currents/induced currents B1 B1 [2],"(226, 'a.i')"
740,A simple transformer is illustrated in Fig. 6.1.  (DIAGRAM)State  what is meant by an ideal transformer. ........................................................................[1],"  In an ideal transformer, power input = power output  i.e. the transformer is 100% efficient.",either?? no power loss in transformer or?? input power = output power B1 [1],"(226, 'a.ii')"
741,A simple transformer is illustrated in Fig. 6.1.  (DIAGRAM)An ideal transformer has 300 turns on the primary coil and 8100 turns on the secondary coil. The root-mean-square input voltage to the primary coil is 9.0 V. Calculate the peak voltage across the load resistor connected to the secondary coil.  peak voltage = .............................................. V [2],VP = Vr.m.s.???2 = 9???2  Using VP/VS = NP/NS  VS = VP(NS/NP)  = (9???2)???? (8100/300)  = 343.65 V  Peak voltage = 340 V,either?? r.m.s. voltage across load = 9.0 ?? (8100 / 300) ?? ??peak voltage across load = ???2 ?? 243 ?? ?? ?? ?? ?? ?? ??= 340V C1  A1 [2] or peak voltage across primary coil = 9.0 ?? ???2 ?? ?? peak voltage across load = 12.7 ?? (8100/300) ?? ?? ?? ?? ?? ?? ??= 340V (C1)  (A1) ??,"(226, 'b')"
742,Define the tesla. ......................................................................... [2],One tesla is the uniform magnetic flux density which acting normal to a long straight wire carrying a current of 1 A causes a force per unit length of 1 N/m on the conductor.,(uniform magnetic) flux normal to long (straight) wire carrying a current of 1 A (creates) force per unit length of 1 Nm? ?1 M1 A1 [2],"(227, 'a')"
743,"A long solenoid has an area of cross-section of 28 cm2,?? as shown in Fig. 5.1. ?? (DIAGRAM)  A coil C consisting of 160 turns of insulated wire is wound tightly around the centre of the solenoid. The magnetic flux density B at the centre of the solenoid is given by the expression  ?? ?? ?? ?? ?? ?? ?? ?? ?? ??B = ??0nI where I is the current in the solenoid, n is a constant equal to 1.5 ?? 103 m? ?1 and ??0 is the permeability of free space. Calculate, for a current of 3.5A in the solenoid,   the magnetic flux density at the centre of the solenoid,  flux density = .............................................. T [2]",  ??0 = 4? ???? 10-7  n = 1.5???? 103  I = 3.5  ??? B = (4?  ?? 10-7)(1.5 ?? 103)???? 3.5 = 6.597???? 10-3 T  Flux density = 6.6???? 10-3 T,flux density = 4?  ?? 10? ?7 ?? 1.5 ?? 103 ?? 3.5 ?? ?? ?? ?? ?? ?? ?? ?? ?? ??= 6.6 ?? 10? ?3T C1 A1 [2],"(227, 'b.i')"
