,Prompt
215,"- Left side: Bottle icon + oil droplet icon labeled ""Total = 1.30 kg"".  
- Right side: Same bottle icon + half-sized oil droplet labeled ""Total = 0.90 kg"".  
- Arrow between showing ""-0.40 kg oil"".  
- Bottle isolated at bottom: ""Mass = ?"" → ""0.50 kg"".  
"
216,Speed-Time Graph
217,"A micrometer clamping a thin wire, showing how its calibrated screw measures tiny gaps."
218,Sketch a decay curve starting at 45 counts/min on the y-axis and time on the x-axis. Draw a horizontal line at 25 counts/min; it intersects the curve at 2.0 days.
219,** Logic circuit with inputs X and Y connected to an AND gate. The AND gate's output connects to a NOT gate. The NOT gate's output is labeled Q.**
220,"A long resistor connected to a battery. The top end is positive, the bottom end is negative. A sliding contact X divides it into two segments. Voltmeter P is connected from the top end to X. Voltmeter Q is connected from X to the bottom end. As X moves up, the top segment shortens, and the bottom segment lengthens."
221,A simple circuit showing a power supply connected in series with a thermistor and a relay coil. A separate secondary circuit contains a bell and is connected to a switch operated by the relay.
222,"Two resistors side by side, connected at both ends, labeled 3.0 Ω and 4.0 Ω."
223,"*Domains initially aligned → After striking, domains point in random directions*"
224,"** A bar magnet with its north pole facing left toward end P of a soft iron bar. The soft iron bar shows induced south polarity at P and induced north polarity at Q. Magnetic field lines emerge from the magnet's north pole, curve into P, through the iron bar, and emerge from Q back to the magnet's south pole.**"
225,Sketch showing air molecules compressed horizontally at X. Arrows indicate horizontal particle oscillation and horizontal wave direction.
226,"Simple ray diagram for a plane mirror showing incident rays striking the mirror and reflecting. The reflected rays diverge, and dashed lines extend behind the mirror to show where the rays *appear* to meet, forming a virtual image."
227,"Two capillary tubes side by side, same length. Tube P is narrow, tube Q is wide. Both contain the same volume of mercury at the bottom. Arrows show mercury expansion upward when heated."
228,"A thermometer bulb in melting ice labeled ""0°C"", and the same bulb in boiling water steam labeled ""100°C"". The capillary between 0°C and 100°C is divided into 100 equal segments."
229,Side-by-side comparison: Left shows ice/water defining 0°C and 100°C. Right emphasizes mercury only filling the capillary between these marks.
230,"A simple sketch of an aircraft in flight, with labels: ""mass = 300,000 kg"", ""speed = 100 m/s"", and ""KE depends only on mass and speed → altitude ignored""."
231,"Bathroom scales showing ""mass: 60 kg"" and ""weight: 600 N"""
232,"A falling sphere with two arrows:  
1. Downward arrow labeled ""Weight = mg"".  
2. Upward arrow of equal length labeled ""Air resistance"".  
Caption: ""At terminal velocity: Forces balance → zero acceleration."""
233,"** A pen with cotton wrapped tightly around it in 6 complete loops. The ruler shows the straight length of cotton as 13.2 cm, and one loop is labeled ""2.2 cm—circumference"".**"
234,"Sketch of radiation penetration: α stopped by paper, β by thin metal, γ by thick lead. Ionisation trail: α shows dense ionisation, γ shows sparse ionisation."
235,"A wire labeled ""P"" with a dot at its center indicating current into the page. Concentric clockwise circular field lines surround it. Point ""Q"" is positioned to the right of the wire. At Q, the tangent to the field line points vertically downward."
236,"A coil rotating between the poles of a magnet. Position A shows the coil horizontal, with its plane perpendicular to the magnetic field lines. Position B and C show the coil at 45° angles. Position D shows the coil vertical, with its plane parallel to the magnetic field lines."
237,Inputs A and B connect to an AND gate. The AND output connects to a NOT gate. The final output is the NOT gate's result.
238,"A simple circuit with a battery, a thermistor and fixed resistor in series forming a potential divider. The junction point between them connects to the base of an NPN transistor. The bell is in series with the transistor's collector-emitter path. When temperature rises, thermistor resistance falls, increasing voltage at the base, switching on the transistor and bell."
239,"Simple circuit with a battery, resistor, voltmeter in parallel across the resistor, ammeter in series with the resistor. Labels: ""V"" for voltmeter, ""A"" for ammeter, ""R"" for resistor."
240,A cell connected to a bulb with arrows showing charge flow
241,"A bar magnet showing many tiny arrows inside all pointing the same direction, representing aligned domains"
242,"The same bar magnet, but now the tiny arrows inside are pointing in random directions, representing demagnetized domains"
243,"Field lines from the magnet inside the box curving around inside the box walls, not escaping"
244,"A bar magnet hanging horizontally from a string, aligning itself North-South"
245,"** A simple sketch showing the electromagnetic spectrum, with labels for infrared, ultraviolet, microwaves, γ-rays, X-rays, and visible light. All waves are shown moving at the same speed in vacuum/air, with arrows of equal length. A vacuum jar is included for context."
246,"** Sketch showing parallel ripple lines approaching a straight boundary between deep and shallow water at an angle. In the deep section, the ripple wavelength is longer. In the shallow section, the ripple wavelength is shorter. Arrows perpendicular to the ripple lines show the direction of wave travel bending *towards* the normal line as the ripples enter the shallow water.**"
247,"Four thermometers equally spaced around a radiant heater. Arrows represent infrared radiation hitting each bulb. Shiny white bulb has large reflected arrows, while others show smaller reflections/absorption."
248,"A thermometer bulb in melting ice labelled ""0°C"", then in steam above boiling water labelled ""100°C"". Arrows show equal divisions between marks."
249,"A crane lifting a concrete beam. Labels show ""Work Done = 4000 kJ"" and ""Time = 160 s"". An arrow indicates the direction of motion, emphasizing energy transfer."
250,A person pushing a box horizontally with force F over distance d. The work done is F × d.
251,"Sketch a simple arrow diagram showing an object moving right with initial velocity 25 m/s. Label a leftward force arrow ""F = 250 N"" acting over 4 s, reducing velocity to 5 m/s. This illustrates deceleration due to opposing force."
252,"A vertical line with dots spaced increasingly farther apart as they go downward, with identical spacing to the lighter ball's diagram"
253,"A sketch of a falling object with two arrows: a downward arrow labeled ""Weight = mg"" and an upward arrow of equal length labeled ""Air resistance"". The net force arrow is zero."
254,"A ruler showing a length of 13.2 cm between two points. Below it, a pen with cotton wrapped tightly around it six times, illustrating that the total cotton length spans six circumferences."
255,"An arrow curving sharply toward the negative plate, labeled ""α-particle"""
256,"A straight arrow passing between the plates, labeled ""γ-ray"""
257,Table comparing low-voltage vs. high-voltage transmission: Low V → High I → High loss; High V → Low I → Low loss
258,"A bar magnet being pulled away from a coil of wire. Arrows show the magnetic field lines becoming weaker through the coil. A voltmeter connected to the coil shows a reading, indicating induced voltage."
259,"Side-by-side comparison. Left: Magnet moving toward coil → voltmeter shows +V. Right: Magnet moving away from coil → voltmeter shows -V. Illustrates that both motions induce voltage, but directions differ."
